relation,n_edges,n_edges_with_both_years,n_missing_year_difference,n_negative_year_differences,n_zero_year_differences,n_positive_year_differences,median_year_difference_all,median_nonnegative_year_difference,p25_nonnegative_year_difference,p75_nonnegative_year_difference,maximum_nonnegative_year_difference,interpretation
publication_grant,5898,5898,0,5662,227,9,-4.0,0.0,0.0,0.0,2,"Record-year difference only; not a causal lag, time to impact, or proof of knowledge translation."
publication_policy_document,361,361,0,2,33,326,2.0,2.0,1.0,3.0,12,"Record-year difference only; not a causal lag, time to impact, or proof of knowledge translation."
