analysis_sample,outcome,term,coefficient_log_odds,robust_standard_error,z_value,p_value,ci_95_log_odds_low,ci_95_log_odds_high,odds_ratio,ci_95_odds_ratio_low,ci_95_odds_ratio_high
all_final_P_citation_window_sensitivity,has_policy_document_link,const,-7.689335613695683,0.3021008927065347,-25.45287286246194,6.560994495602907e-143,-8.28144248309789,-7.097228744293476,0.000457682148496,0.0002531717405569,0.0008273946712661
all_final_P_citation_window_sensitivity,has_policy_document_link,ethics_responsibility_primary,0.2428083188532039,0.1909383195889115,1.2716584045359154,0.2034945156510961,-0.1314239108096613,0.6170405485160693,1.2748242409249186,0.8768459911010973,1.8534347670438485
all_final_P_citation_window_sensitivity,has_policy_document_link,computational_performance_primary,-0.2546351997075526,0.2413219620824319,-1.0551679487032064,0.2913485200217537,-0.7276175540676597,0.2183471546525544,0.7751992392950845,0.4830584809596103,1.2440188596004036
all_final_P_citation_window_sensitivity,has_policy_document_link,mental_health_conditions_symptoms,0.1241534905555712,0.157495039378957,0.7883009588437837,0.4305206869478206,-0.184531114370902,0.4328380954820446,1.132189638079592,0.8314940680820764,1.5416266041819393
all_final_P_citation_window_sensitivity,has_policy_document_link,clinical_assessment_diagnosis,-0.2256180800170636,0.1838652453589393,-1.227083887314402,0.2197910632008058,-0.5859873389292051,0.1347511788950778,0.7980228243355849,0.5565560809617988,1.1442520348713174
all_final_P_citation_window_sensitivity,has_policy_document_link,treatment_intervention,0.0271156535176438,0.1578052481802243,0.1718298588312847,0.8635712906866795,-0.2821769494870008,0.3364082565222883,1.0274866283349582,0.7541402279994334,1.3999104307268615
all_final_P_citation_window_sensitivity,has_policy_document_link,neurocognitive_affective_processes,-0.5148700103487178,0.2123154540355394,-2.425023711474784,0.0153073869282352,-0.9310006536196443,-0.0987393670777911,0.5975782685604678,0.3941590962421296,0.9059788051583166
all_final_P_citation_window_sensitivity,has_policy_document_link,publication_year_centered,-0.0638721633467799,0.0152608365224555,-4.185364495111093,2.8470887102379287e-05,-0.0937828533047462,-0.0339614733888136,0.9381249186154372,0.9104804485970268,0.9666087440793998
all_final_P_citation_window_sensitivity,has_policy_document_link,log1p_times_cited,1.1501258459269086,0.0636965855315712,18.05631866023412,7.036134500649725e-73,1.025282832346854,1.2749688595069633,3.158590380413355,2.787883852802026,3.578589969310407
publications_through_2021_primary,has_policy_document_link,const,-7.1012977566257645,0.4419895184962766,-16.06666551909553,4.369680297454575e-58,-7.967581294422667,-6.235014218828862,0.0008240348323937,0.0003465160935356,0.0019596013508918
publications_through_2021_primary,has_policy_document_link,ethics_responsibility_primary,0.6915432209051191,0.2616202565861673,2.643309160876663,0.0082100032710314,0.1787769403701034,1.2043095014401348,1.996794652001978,1.1957539899754923,3.3344558460101146
publications_through_2021_primary,has_policy_document_link,computational_performance_primary,-0.306887086532072,0.2950686368250562,-1.0400532223084855,0.2983151745805966,-0.8852109876765113,0.2714368146123673,0.7357336704575324,0.4126271048600709,1.311847979614617
publications_through_2021_primary,has_policy_document_link,mental_health_conditions_symptoms,0.2833230775507889,0.1979231235924108,1.431480427391823,0.1522925725312165,-0.1045991163980062,0.671245271499584,1.3275339889709596,0.9006855202780362,1.9566723925228888
publications_through_2021_primary,has_policy_document_link,clinical_assessment_diagnosis,0.1331946485130318,0.2197876722859613,0.6060151014281409,0.5445047252728776,-0.2975812734133445,0.5639705704394082,1.142472357234793,0.7426122261376928,1.7576374871097398
publications_through_2021_primary,has_policy_document_link,treatment_intervention,0.0245554505083718,0.2001560079779334,0.122681556034426,0.9023592696765546,-0.3677431164176895,0.4168540174344332,1.0248594185073958,0.6922949980678177,1.517181014791076
publications_through_2021_primary,has_policy_document_link,neurocognitive_affective_processes,-0.1811033743196916,0.2530871098687615,-0.7155772351013963,0.4742524344821829,-0.677144994613796,0.3149382459744126,0.8343491039665965,0.5080654533055549,1.3701746945411757
publications_through_2021_primary,has_policy_document_link,publication_year_centered,0.0378376690028415,0.0265731012063805,1.4239086627102555,0.1544729138354317,-0.0142446523192021,0.0899199903248852,1.038562628286931,0.9858563227206064,1.0940867426783634
