model_label,model_family,outcome,term,coefficient_log_odds,standard_error,z_value,p_value,ci_95_log_odds_low,ci_95_log_odds_high,covariance_estimator,odds_ratio,ci_95_odds_ratio_low,ci_95_odds_ratio_high
policy_2021_firth,firth_penalized_logistic,has_policy_document_link,const,-7.031953782348469,0.4349201640341478,-16.16837839184746,8.428783335739908e-59,-7.8843816400056514,-6.179525924691287,inverse expected Fisher information; model-based Wald sensitivity,0.0008832045044136,0.0003765794011969,0.002071409626063
policy_2021_firth,firth_penalized_logistic,has_policy_document_link,ethics_responsibility_primary,0.697934967362231,0.2606927605291744,2.677231872283328,0.0074233241783164,0.1869865456947241,1.208883389029738,inverse expected Fisher information; model-based Wald sensitivity,2.009598533134189,1.2056110642815026,3.349742204615437
policy_2021_firth,firth_penalized_logistic,has_policy_document_link,computational_performance_primary,-0.2858681276370804,0.2790591236626278,-1.0243998615242715,0.3056464473522939,-0.8328139595731402,0.2610777042989792,inverse expected Fisher information; model-based Wald sensitivity,0.7513616932558599,0.4348239860391913,1.2983285472237716
policy_2021_firth,firth_penalized_logistic,has_policy_document_link,mental_health_conditions_symptoms,0.2805693009858322,0.1928297585232272,1.4550103839498216,0.1456663867937735,-0.0973700808672486,0.6585086828389133,inverse expected Fisher information; model-based Wald sensitivity,1.3238832859002554,0.9072201991611464,1.9319090958365412
policy_2021_firth,firth_penalized_logistic,has_policy_document_link,clinical_assessment_diagnosis,0.1387053551401001,0.2154731280717202,0.6437246091026817,0.5197540290241711,-0.2836142155166579,0.5610249257968583,inverse expected Fisher information; model-based Wald sensitivity,1.148785566370199,0.7530571064215102,1.7524677295347306
policy_2021_firth,firth_penalized_logistic,has_policy_document_link,treatment_intervention,0.0279655291157105,0.2022941731470891,0.1382418914032521,0.8900492483616207,-0.3685237645348937,0.4244548227663149,inverse expected Fisher information; model-based Wald sensitivity,1.028360235323768,0.6917547701724059,1.528756749059481
policy_2021_firth,firth_penalized_logistic,has_policy_document_link,neurocognitive_affective_processes,-0.1649277386756628,0.2511614081523537,-0.656660351958284,0.5113993333611924,-0.657195052960641,0.3273395756093152,inverse expected Fisher information; model-based Wald sensitivity,0.8479549762236466,0.5183031102373624,1.387272481103111
policy_2021_firth,firth_penalized_logistic,has_policy_document_link,publication_year_centered,0.0350681554124,0.0301284584076094,1.1639545222646694,0.2444424423290079,-0.0239825379762275,0.0941188488010275,inverse expected Fisher information; model-based Wald sensitivity,1.0356902942933306,0.9763027578310284,1.0986903161847394
policy_2021_firth,firth_penalized_logistic,has_policy_document_link,log1p_times_cited,1.10263316964663,0.0889552255808594,12.395372643334449,2.7685572643604966e-35,0.9282841312715092,1.2769822080217508,inverse expected Fisher information; model-based Wald sensitivity,3.01208692669779,2.5301640215027428,3.585802176016715
policy_2020_firth,firth_penalized_logistic,has_policy_document_link,const,-6.989380163824742,0.5326104974572975,-13.12287346417749,2.4352310318547087e-39,-8.033277556629008,-5.945482771020477,inverse expected Fisher information; model-based Wald sensitivity,0.0009216176065969,0.0003244829529023,0.0026176383233459
policy_2020_firth,firth_penalized_logistic,has_policy_document_link,ethics_responsibility_primary,0.9830615503676152,0.3037488395814595,3.2364289908800696,0.0012103533579252,0.3877247644421201,1.5783983362931102,inverse expected Fisher information; model-based Wald sensitivity,2.6726261087643888,1.473624134705287,4.847186028666401
policy_2020_firth,firth_penalized_logistic,has_policy_document_link,computational_performance_primary,-0.0210120219973368,0.3069040762508001,-0.0684644604725482,0.945415910102457,-0.6225329581574396,0.5805089141627658,inverse expected Fisher information; model-based Wald sensitivity,0.9792071924724376,0.5365835710797858,1.78694760232825
policy_2020_firth,firth_penalized_logistic,has_policy_document_link,mental_health_conditions_symptoms,0.6379553334858923,0.2203762109190168,2.8948466389610727,0.0037934381540861,0.2060258970352166,1.069884769936568,inverse expected Fisher information; model-based Wald sensitivity,1.8926071699278708,1.2287850254723476,2.9150435799666994
policy_2020_firth,firth_penalized_logistic,has_policy_document_link,clinical_assessment_diagnosis,0.0638928251692683,0.2448083699893455,0.2609911792315315,0.7940993095386273,-0.4159227631238051,0.5437084134623419,inverse expected Fisher information; model-based Wald sensitivity,1.0659781466117104,0.6597312240954922,1.7223823392801296
policy_2020_firth,firth_penalized_logistic,has_policy_document_link,treatment_intervention,0.0668363206567884,0.2246616064136802,0.2974977421541243,0.7660865315100117,-0.3734923366229376,0.5071649779365144,inverse expected Fisher information; model-based Wald sensitivity,1.0691204709159607,0.6883262611798121,1.660576743610504
policy_2020_firth,firth_penalized_logistic,has_policy_document_link,neurocognitive_affective_processes,-0.3700349733675365,0.3054158744764638,-1.2115774073690215,0.2256741871683829,-0.9686390876482116,0.2285691409131384,inverse expected Fisher information; model-based Wald sensitivity,0.6907101737541654,0.3795992880981263,1.256800418456486
policy_2020_firth,firth_penalized_logistic,has_policy_document_link,publication_year_centered,0.0753056944460014,0.0368816961684857,2.04181754824898,0.041169632900503,0.0030188982670203,0.1475924906249824,inverse expected Fisher information; model-based Wald sensitivity,1.078213704451771,1.0030234597294356,1.1590404802507872
policy_2020_firth,firth_penalized_logistic,has_policy_document_link,log1p_times_cited,1.1184331001933443,0.104314423004149,10.72174938022578,8.04667919884392e-27,0.913980588037136,1.3228856123495532,inverse expected Fisher information; model-based Wald sensitivity,3.060055644246831,2.4942313062291466,3.75423904050165
