model_label,model_family,outcome,term,coefficient_log_odds,standard_error,z_value,p_value,ci_95_log_odds_low,ci_95_log_odds_high,covariance_estimator,odds_ratio,ci_95_odds_ratio_low,ci_95_odds_ratio_high
grant_primary,binomial_logistic,has_grant_link,const,-2.8850045944459333,0.0590230043995621,-48.87932465984964,0.0,-3.0006875573284244,-2.769321631563442,HC3 robust,0.0558545329152635,0.0497528486694971,0.0627045270896201
grant_primary,binomial_logistic,has_grant_link,ethics_responsibility_primary,-0.3049177534032278,0.0740420640465125,-4.118169277556621,3.818941388922973e-05,-0.4500375322754004,-0.1597979745310551,HC3 robust,0.7371840027737776,0.6376042204354823,0.8523159611057787
grant_primary,binomial_logistic,has_grant_link,computational_performance_primary,0.406970566912251,0.0725090907266868,5.612683359197969,1.9921293555400613e-08,0.2648553605361976,0.5490857732883044,HC3 robust,1.5022598888641046,1.303242461854534,1.7316691557751676
grant_primary,binomial_logistic,has_grant_link,mental_health_conditions_symptoms,0.3022259814326469,0.0561828054032383,5.379332328877026,7.47625878470149e-08,0.1921097062918774,0.4123422565734164,HC3 robust,1.3528669149718715,1.211803452136073,1.5103512755301107
grant_primary,binomial_logistic,has_grant_link,clinical_assessment_diagnosis,0.0508403918746852,0.0649976558259492,0.7821880839953005,0.4341040463791594,-0.0765526726237053,0.1782334563730757,HC3 robust,1.0521549474021012,0.9263041221353662,1.1951042933834013
grant_primary,binomial_logistic,has_grant_link,treatment_intervention,0.177263077654882,0.0578915631573074,3.061984648319289,0.0021987472892596,0.0637976988578335,0.2907284564519306,HC3 robust,1.1939451521050517,1.0658767488654264,1.3374013719246007
grant_primary,binomial_logistic,has_grant_link,neurocognitive_affective_processes,-0.0375647503093367,0.063761398041899,-0.589145650235775,0.5557635724565974,-0.1625347940753816,0.0874052934567082,HC3 robust,0.963132052603425,0.8499865152159998,1.091338902613482
grant_primary,binomial_logistic,has_grant_link,publication_year_centered,-0.0198021624586709,0.0078691557425179,-2.516427823594537,0.0118551179186368,-0.0352254243027426,-0.0043789006145991,HC3 robust,0.9803926125858988,0.9653877698621972,0.9956306727919342
grant_primary,binomial_logistic,has_grant_link,log1p_times_cited,0.504805921705071,0.0168784503233783,29.90830982900515,1.534396694565872e-196,0.4717247669564011,0.5378870764537409,HC3 robust,1.6566639667406258,1.6027561915492792,1.712384898693683
grant_complete_case,binomial_logistic,has_grant_link,const,-2.8559633869612298,0.060723548146982,-47.0322218334202,0.0,-2.9749793543427985,-2.736947419579661,HC3 robust,0.0575003992938985,0.0510484879228572,0.0647677542174046
grant_complete_case,binomial_logistic,has_grant_link,ethics_responsibility_primary,-0.3085715952578421,0.0741789752006233,-4.159825535784015,3.1849078159605727e-05,-0.4539597150611537,-0.1631834754545305,HC3 robust,0.7344953639316928,0.6351083180303366,0.8494353235842533
grant_complete_case,binomial_logistic,has_grant_link,computational_performance_primary,0.4010003675632792,0.0724392807827483,5.535675716686281,3.1003072875651953e-08,0.259021986163108,0.5429787489634504,HC3 robust,1.493317817388653,1.295662291157361,1.7211260364291736
grant_complete_case,binomial_logistic,has_grant_link,mental_health_conditions_symptoms,0.2943647006416136,0.0562631802804203,5.231924309548018,1.6775444447353833e-07,0.1840908936363056,0.4046385076469216,HC3 robust,1.3422733423614237,1.202125083650829,1.4987606116182095
grant_complete_case,binomial_logistic,has_grant_link,clinical_assessment_diagnosis,0.0439493045033125,0.0649695915618971,0.6764596089763265,0.4987488821982879,-0.0833887550482831,0.1712873640549083,HC3 robust,1.04492938033173,0.9199934256029972,1.1868317528082306
grant_complete_case,binomial_logistic,has_grant_link,treatment_intervention,0.1712798172000164,0.0579533020231921,2.955479864313384,0.0031218307418993,0.0576934324493876,0.2848662019506451,HC3 robust,1.186822795995009,1.0593901712725655,1.3295841204581196
grant_complete_case,binomial_logistic,has_grant_link,neurocognitive_affective_processes,-0.046399250021447,0.0638369755258944,-0.7268397294703592,0.4673241419380263,-0.1715174229341649,0.0787189228912708,HC3 robust,0.9546607377738194,0.8423855910634722,1.0819001819538276
grant_complete_case,binomial_logistic,has_grant_link,publication_year_centered,-0.0213903825834672,0.0079161963804896,-2.7021035804753866,0.0068902293584224,-0.0369058423837732,-0.0058749227831612,HC3 robust,0.978836769146363,0.9637668770687176,0.9941423008300536
grant_complete_case,binomial_logistic,has_grant_link,log1p_times_cited,0.5002098117546661,0.017083245717858,29.280724518981103,1.825218179496161e-188,0.4667272654086161,0.533692358100716,HC3 robust,1.649067228094584,1.5947663961375274,1.7052169705619007
