model_label,model_family,outcome,model_status,converged,iterations,n_observations,n_events,event_rate_pct,n_parameters_including_intercept,penalized_log_likelihood,covariance_estimator,interpretation
policy_2021_firth,firth_penalized_logistic,has_policy_document_link,fit,True,11,2271,147,6.472919418758257,9,-399.1217556664632,inverse expected Fisher information; model-based Wald sensitivity,Firth penalized likelihood is a rare-outcome sensitivity. Its standard errors and Wald intervals are model-based and are not HC3 robust standard errors.
policy_2020_firth,firth_penalized_logistic,has_policy_document_link,fit,True,10,1550,120,7.741935483870968,9,-296.5272699340719,inverse expected Fisher information; model-based Wald sensitivity,Firth penalized likelihood is a rare-outcome sensitivity. Its standard errors and Wald intervals are model-based and are not HC3 robust standard errors.
